EmbeddingDimension,RepitionIndex,TrainingFraction,TrainACC,TrainAUC,TestACC,TestAUC,Label
2,4,0.25,0.995071232318878,0.999737203121185,0.760330557823181,0.822689712047577,FrozenEmbedding
2,4,0.5,0.994216740131378,0.999455273151398,0.727272748947144,0.799194037914276,FrozenEmbedding
2,4,0.75,0.990487039089203,0.999304115772247,0.735537171363831,0.84102863073349,FrozenEmbedding
2,4,1,0.98700749874115,0.998895823955536,0.764462828636169,0.835871934890747,FrozenEmbedding
2,3,1,0.995175659656525,0.999516129493713,0.760330557823181,0.808346450328827,FrozenEmbedding
2,3,0.25,0.994614124298096,0.999745488166809,0.727272748947144,0.790246605873108,FrozenEmbedding
2,3,0.75,0.995978832244873,0.999631285667419,0.797520637512207,0.847824573516846,FrozenEmbedding
2,3,0.5,0.99725741147995,0.999490320682525,0.772727251052856,0.839662611484528,FrozenEmbedding
2,1,0.75,0.915363848209381,0.974222123622894,0.760330557823181,0.82354348897934,FrozenEmbedding
2,1,1,0.744169533252716,0.827061414718628,0.772727251052856,0.83136397600174,FrozenEmbedding
2,1,0.25,0.999165296554565,0.999976336956024,0.723140478134155,0.767058312892914,FrozenEmbedding
2,1,0.5,0.994316101074219,0.999456942081451,0.780991733074188,0.854279100894928,FrozenEmbedding
2,2,0.75,0.989904046058655,0.99927419424057,0.780991733074188,0.83710128068924,FrozenEmbedding
2,2,1,0.990664303302765,0.999338388442993,0.78925621509552,0.824875414371491,FrozenEmbedding
2,2,0.25,0.999244809150696,0.999976873397827,0.706611573696137,0.754525065422058,FrozenEmbedding
2,2,0.5,0.823838651180267,0.905191361904144,0.760330557823181,0.84352171421051,FrozenEmbedding
2,5,0.25,0.996939420700073,0.999857008457184,0.739669442176819,0.805477738380432,FrozenEmbedding
2,5,1,0.989084303379059,0.999193847179413,0.818181812763214,0.860631167888641,FrozenEmbedding
2,5,0.5,0.969255208969116,0.995639026165008,0.78925621509552,0.841438353061676,FrozenEmbedding
2,5,0.75,0.978860855102539,0.997699856758118,0.752066135406494,0.84297513961792,FrozenEmbedding
16,4,0.75,0.830257296562195,0.905538439750671,0.780991733074188,0.849429666996002,FrozenEmbedding
16,4,0.5,0.972216427326202,0.99597430229187,0.797520637512207,0.868041813373566,FrozenEmbedding
16,4,0.25,0.991156041622162,0.999357342720032,0.747933864593506,0.845946311950684,FrozenEmbedding
16,4,1,0.873100817203522,0.941072404384613,0.822314023971558,0.884092569351196,FrozenEmbedding
16,3,0.75,0.96360433101654,0.994263172149658,0.809917330741882,0.885322034358978,FrozenEmbedding
16,3,0.5,0.797873497009277,0.876940369606018,0.826446294784546,0.86124587059021,FrozenEmbedding
16,3,1,0.99257218837738,0.999400734901428,0.838842988014221,0.887815058231354,FrozenEmbedding
16,3,0.25,0.977721273899078,0.997359991073608,0.752066135406494,0.823065340518951,FrozenEmbedding
